,Date,Open,High,Low,Close,Predicted_results_5,Predicted_results_20,Predicted_results_60,Predicted_results_120,action_5,action_20,action_60,action_120
97,2021-05-24,13557.209961,13708.849609,13551.009766,13661.169922,1,1,1,1,Holding,Holding,Holding,Holding
98,2021-05-25,13721.540039,13751.139648,13631.799805,13657.169922,1,1,0,1,Holding,Holding,Holding,Holding
99,2021-05-26,13693.94043,13750.160156,13679.589844,13738.0,1,1,0,1,Holding,Holding,sell,Holding
100,2021-05-27,13742.589844,13776.519531,13701.629883,13736.280273,0,1,0,1,Holding,Holding,No action,Holding
101,2021-05-28,13792.049805,13820.870117,13747.610352,13748.740234,0,1,0,1,sell,Holding,No action,Holding
102,2021-06-01,13829.05957,13836.169922,13678.769531,13736.480469,0,1,0,1,No action,Holding,No action,Holding
103,2021-06-02,13743.240234,13775.889648,13689.740234,13756.330078,0,1,0,1,No action,Holding,No action,Holding
104,2021-06-03,13655.75,13684.129883,13548.929688,13614.509766,0,1,0,1,No action,Holding,No action,Holding
105,2021-06-04,13697.25,13826.820313,13692.009766,13814.490234,0,1,0,1,No action,Holding,No action,Holding
106,2021-06-07,13802.820313,13889.110352,13784.889648,13881.719727,0,0,0,1,No action,Holding,No action,Holding
107,2021-06-08,13946.320313,13981.719727,13831.980469,13924.910156,0,0,0,1,No action,sell,No action,Holding
108,2021-06-09,13980.230469,14003.5,13906.450195,13911.75,0,0,0,1,No action,No action,No action,Holding
109,2021-06-10,13933.879883,14031.19043,13904.400391,14020.330078,0,0,0,1,No action,No action,No action,Holding
110,2021-06-11,14030.849609,14069.419922,14006.589844,14069.419922,0,0,0,1,No action,No action,No action,Holding
111,2021-06-14,14083.469727,14175.450195,14056.669922,14174.139648,0,0,0,1,No action,No action,No action,Holding
112,2021-06-15,14166.639648,14171.019531,14052.160156,14072.860352,0,1,0,1,No action,Buy,No action,Holding
113,2021-06-16,14085.549805,14129.69043,13903.730469,14039.679688,0,1,0,1,No action,Holding,No action,Holding
114,2021-06-17,13999.129883,14196.209961,13998.929688,14161.349609,0,1,1,1,No action,Holding,Buy,Holding
115,2021-06-18,14096.929688,14129.219727,14009.040039,14030.379883,0,1,1,1,No action,Holding,Holding,Holding
