,Date,Open,High,Low,Close,Predicted_results_20,action_20,Sell_Signal_Profit,Sell_Signal_Return,Cumulative_Profit
158,2022-08-26,2489.139893,2497.76001,2476.75,2481.030029,0,sell,-75.98999000000003,-3.0298434447230616,-513.5502929999998
159,2022-08-29,2432.060059,2432.889893,2417.01001,2426.889893,0,No action,0.0,0.0,-513.5502929999998
160,2022-08-30,2441.209961,2453.909912,2433.47998,2450.929932,1,Buy,0.0,0.0,-513.5502929999998
161,2022-08-31,2433.469971,2473.75,2426.139893,2472.050049,1,Holding,0.0,0.0,-513.5502929999998
162,2022-09-01,2443.0,2443.610107,2415.610107,2415.610107,1,Holding,0.0,0.0,-513.5502929999998
163,2022-09-02,2427.699951,2432.370117,2402.669922,2409.409912,0,Holding,0.0,0.0,-513.5502929999998
164,2022-09-05,2410.070068,2424.77002,2392.629883,2403.679932,1,Holding,0.0,0.0,-513.5502929999998
165,2022-09-06,2409.719971,2422.530029,2399.26001,2410.02002,1,Holding,0.0,0.0,-513.5502929999998
166,2022-09-07,2395.659912,2398.399902,2365.350098,2376.459961,0,Holding,0.0,0.0,-513.5502929999998
167,2022-09-08,2393.27002,2394.060059,2379.060059,2384.280029,1,Holding,0.0,0.0,-513.5502929999998
168,2022-09-13,2418.590088,2453.949951,2418.590088,2449.540039,1,Holding,0.0,0.0,-513.5502929999998
169,2022-09-14,2390.469971,2418.419922,2381.5,2411.419922,1,Holding,0.0,0.0,-513.5502929999998
170,2022-09-15,2416.01001,2421.629883,2401.830078,2401.830078,1,Holding,0.0,0.0,-513.5502929999998
171,2022-09-16,2387.560059,2395.100098,2371.110107,2382.780029,1,Holding,0.0,0.0,-513.5502929999998
172,2022-09-19,2388.72998,2389.850098,2352.76001,2355.659912,1,Holding,0.0,0.0,-513.5502929999998
173,2022-09-20,2373.639893,2382.52002,2359.840088,2367.850098,0,Holding,0.0,0.0,-513.5502929999998
174,2022-09-21,2351.540039,2360.27002,2341.790039,2347.209961,0,sell,-131.22998099999995,-5.354293457623005,-644.7802739999997
175,2022-09-22,2319.699951,2335.110107,2309.100098,2332.310059,0,No action,0.0,0.0,-644.7802739999997
176,2022-09-23,2331.330078,2334.060059,2285.709961,2290.0,0,No action,0.0,0.0,-644.7802739999997
177,2022-09-26,2260.800049,2260.800049,2215.360107,2220.939941,1,Buy,0.0,0.0,-644.7802739999997
178,2022-09-27,2224.389893,2227.350098,2197.899902,2223.860107,0,Holding,0.0,0.0,-644.7802739999997
179,2022-09-28,2206.149902,2223.560059,2151.600098,2169.290039,1,Holding,0.0,0.0,-644.7802739999997
180,2022-09-29,2197.75,2210.610107,2170.139893,2170.929932,0,Holding,0.0,0.0,-644.7802739999997
181,2022-09-30,2161.110107,2177.199951,2134.77002,2155.48999,1,Holding,0.0,0.0,-644.7802739999997
